AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.168,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.7,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.169,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.8,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.170,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.9,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.171,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.10,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.172,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.11,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.173,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.12,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.174,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.13,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.175,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.14,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.176,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.15,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.177,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11.16,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.178,urn:cts:greekLit:tlg0363.tlg009.hc01:2.12.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.179,urn:cts:greekLit:tlg0363.tlg009.hc01:2.12.2,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.180,urn:cts:greekLit:tlg0363.tlg009.hc01:2.12.3,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.181,urn:cts:greekLit:tlg0363.tlg009.hc01:2.12.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.182,urn:cts:greekLit:tlg0363.tlg009.hc01:2.13.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.183,urn:cts:greekLit:tlg0363.tlg009.hc01:2.13.2,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.184,urn:cts:greekLit:tlg0363.tlg009.hc01:2.13.3,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.185,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.186,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14.2,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.187,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14.3,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.188,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14.4,urn:cite:ptolemy:geotype.4,
